author,name,price
, 和秋叶一起学 秒懂Excel（全彩版） Excel教程书籍，秒懂Word PPT职场办公技巧，70个Excel实用技巧解决表格数据处理分析问题，分类整理职场高频痛点问题，提高数据处理能力，附赠80个讲解视频、36套实战案例及300余套模板。,¥37.40
, 剪映真传：88招玩转短视频剪辑 全彩印刷 亿级流量博主多年实战经验总结。 抖音百万粉丝创作人视频剪辑技巧和剪辑思维剖析。,¥64.35
, 小学生C++趣味编程 全国青少年信息学奥林匹克普及组竞赛教材一本真正适合小学生的信息学竞赛培训教材，赠配套教学资源，素材下载地址为：https://pan.baidu.com/s/1i7mvF6H,¥58.60
," Origin科研绘图与学术图表绘制从入门到精通 谭春林 专业级Origin 2023科研绘图与学术图表绘制指南:以“二维、三维科技绘图+拟合与分析+数据与信号处理”的思路进行全方位讲解, 掌握科技绘图与学术图表绘制的核心技能。",¥79.00
, 张静初推荐 有限与无限的游戏：一个哲学家眼中的竞技世界 1.改变了凯文·凯利KK一生的书。2.美团网创始人王兴忘情力荐。3.你想做但又停顿的任何事情，都可以从这本书中得到启发，找到答案。,¥37.40
, 秒懂短视频剪辑 3000万粉丝短视频博主秋叶大叔新作，带你玩转短视频--视频剪辑篇，精心整理60+个剪辑技巧，附赠AI创作短视频工具及教程、上千种脚本文件及教学视频。,¥37.40
, Python编程 从入门到实践 第3版 Python编程入门经典，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,¥69.80
, 浪潮之巅 第四版 数学之美 文明之光 大学之路 见识 态度 全球科技通史作者吴军博士作品 深度剖析信息产业 掌握下一个黄金十年 李开复作序推荐 来自谷歌的方法论 智能时代的行动指南,¥139.00
, 秒懂短视频拍摄 3000万粉丝短视频博主秋叶大叔新作，带你玩转短视频--手机拍摄篇，精心整理47种典型拍摄技巧，附赠AI创作短视频工具及教程、上千种脚本文件及教学视频,¥37.40
, C Primer Plus 第6版 中文版 C语言入门经典教程 C语言入门经典教程，畅销30余年的C语言编程入门书籍，近百万程序员的C语言编程启蒙教材，技术大牛案头常备的工具书，被誉为C语言百科全书，购书赠送价值99元的e读版电子书+在线编程环境,¥54.00
, 数学之美 第三版 浪潮之巅、文明之光、硅谷之谜、大学之路、见识作者吴军博士作品，源自谷歌黑板报，根植谷歌方法论，新增区块链、量子通信、人工智能知识，文津图书奖获奖书，数学学科敲门砖,¥39.80
, Vlog短视频创作从新手到高手 千万级流量博主刘川多年实战总结。 脚本、音效等海量Vlog素材免费赠送。,¥39.50
, Excel最强教科书（完全版）教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高级会计数据透视 日本年度Excel图书*！问世两年印刷21次！销量突破27万册！“后悔没有早点知道”的办公秘笈一应俱全，堪称不变的经典，永远的传奇！5小时的工作10秒内即可搞定！,¥66.40
, C++ Primer Plus 第6版 中文版 C++程序设计经典教程，畅销30年的C++大百科全书全新升级，经典C++入门教程十年新版再现，孟岩、高博倾力推荐，赠送价值99元的e读版电子书及在线实验环境，赠送大尺寸全书思维导图，赠199元训练营,¥118.00
, 这就是ChatGPT！揭开AIGC神秘面纱！OpenAI CEO 山姆·阿尔特曼（Sam Altman）强烈推荐！ OpenAI CEO山姆·阿尔特曼（Sam Altman）强烈推荐，沉浸于神奇AI的海洋，与您一同探寻人工智能无尽可能性，与ChatGPT一同开启对话的奇妙旅程！,¥59.80
, R语言实战（第3版） 获30万中文版读者认可与好评的数据分析教程重磅升级，给你入门R的,¥59.90
, SQL必知必会 第5版 SQL从入门到精通基础教程，深入浅出sql数据库原理与应用教程，2020升级，案例更新，增加章后挑战题，中文版累计销量15万+，麻省理工学院等众多大学的参考教材,¥36.70
, 和秋叶一起学——秒懂Photoshop图像处理 PS入门教程，碎片化学习方式+字典式体例编排，精心整理热点技巧，提炼社群高频痛点，随用随查及时处理工作难题，赠送70套配套操作视频及练习文件,¥37.40
, 鸟哥的Linux私房菜 基础学习篇 第四版 畅销Linux入门书升级版 鸟哥教你从入门到精通 适用Linux系统应用和开发及运维的人员 涵盖linux内核 命令行 嵌入式 Shell与Shell Scripts技巧精粹 基于CentOS 7.x,¥59.00
, 和秋叶一起学——Word Excel PPT办公应用从新手到高手 秋叶WordExcelPPT三合一2022新版全新上市，适用于Office各个主流版本，240分钟教学视频+1200套拿来即用的精美模板，结合实际工作场景与实战案例，助力职场提升。,¥44.90
, 控制之美（卷2）——最优化控制MPC与卡尔曼滤波器 ,¥59.20
, 数学要素 全彩图解 + 微课 +Python 编程 Github/知乎数学可视化大神生姜博士全角度拆解“数学要素”。,¥119.00
, 控制之美（卷1）——控制理论从传递函数到状态空间 本书的目标是以简单的语言讲述复杂的知识，希望本书可以引起读者对控制理论的兴趣，并掌握控制理论的核心精神所在，为未来深入学习其他相关知识打下基础。同时，本书是一本“实战性”很强的书籍，大部分章节以一个实,¥34.50
, Origin科技绘图与数据分析 Origin科技绘图与数据分析，OriginLab技术服务经理作序推荐，中科院专家编撰，品质保证,¥64.50
, 算法竞赛（清华科技大讲堂） 一本算法竞赛大全，全面深入解析算法专题、数据结构、模板代码。10个专题，330个知识点，102个章节视频讲解。,¥84.00
, 矩阵力量：线性代数全彩图解+微课+Python编程 鸢尾花书 从加减乘除到机器学习 Github/知乎数学可视化大神生姜博士作品 硬核品鉴数学之美,¥129.00
, 动手学深度学习（PyTorch版） 《动手学深度学习》全新PyTorch版本，李沐和亚马逊科学家阿斯顿·张等大咖作者强强联合之作，机器学习、深度学习领域重磅教程，交互式实战环境，配套资源丰富,¥69.80
